Overall Ranking,College Name,Outomes Ranking,Resources Ranking,Engagement Ranking,Environment Ranking,Average Net Price
311,University of Texas at Dallas,233,501-600,>600,81,"$10,036"
311,Wagner College,272,343,>600,401-500,"$30,119"
317,Albany College of Pharmacy and Health Sciences,501-600,63,>600,401-500,"$30,359"
317,Dominican University (Illinois),401-500,364,225,71,"$18,250"
319,"California State University, Long Beach",168,>600,134,5,"$9,654"
319,Coe College,379,260,332,501-600,"$21,733"
319,Rider University,401-500,256,401-500,371,"$30,028"
319,Union University,401-500,177,111,>600,"$25,162"
323,Azusa Pacific University,356,401-500,501-600,93,"$28,784"
323,CUNY Brooklyn College,255,>600,401-500,44,"$4,144"
323,Chatham University,501-600,109,>600,501-600,"$25,525"
323,University of Kentucky,344,369,93,501-600,"$19,361"
323,University of Toledo,344,401-500,225,309,"$16,281"
328,University of Cincinnati-Uptown,401-500,369,16,401-500,"$21,050"
328,John Brown University,176,501-600,285,501-600,"$22,338"
328,Widener University,391,302,332,401-500,"$30,701"
328,William Jewell College,401-500,169,371,>600,"$20,916"
332,Eckerd College,401-500,229,250,501-600,"$33,918"
332,University of Missouri-Kansas City,401-500,237,>600,252,"$14,864"
332,Pacific University,>600,138,401-500,293,"$29,503"
332,Seton Hall University,314,401-500,501-600,252,"$28,700"
332,The College of St Scholastica,144,501-600,401-500,>600,"$23,942"
337,Marietta College,401-500,177,401-500,501-600,"$25,593"
337,University of Minnesota Morris,352,364,>600,293,"$11,472"
337,SUNY New Paltz,293,401-500,314,266,"$14,496"
340,Doane University,383,193,401-500,>600,"$24,445"
340,Illinois College,501-600,161,401-500,501-600,"$17,177"
340,Roanoke College,352,260,314,>600,"$29,573"
343,University of Alaska Fairbanks,>600,84,>600,244,"$9,010"
343,"California State University, Chico",131,>600,155,150,"$14,185"
343,Canisius College,401-500,256,134,>600,"$20,592"
343,Indiana Wesleyan University-Marion,344,343,76,>600,"$20,008"
343,The New School,>600,169,>600,93,"$45,601"
348,University of Missouri-Columbia,269,401-500,285,501-600,"$17,762"
348,University of Redlands,401-500,401-500,401-500,215,"$32,923"
348,University of South Carolina-Columbia,356,378,179,401-500,"$20,271"
351,School of the Art Institute of Chicago,>600,130,>600,100,"$45,728"
351,California Lutheran University,272,501-600,401-500,150,"$28,241"
351,Lycoming College,359,290,>600,501-600,"$20,002"
354,Ohio University,320,401-500,76,501-600,"$21,607"
354,Ringling College of Art and Design,501-600,188,>600,371,"$49,828"
356,"California State University, Fresno",225,>600,250,12,"$5,879"
356,College for Creative Studies,391,286,>600,393,"$36,870"
356,Point Loma Nazarene University,285,501-600,76,321,"$31,349"
359,Calvin College,401-500,283,49,501-600,"$26,306"
360,Augustana University,401-500,270,225,>600,"$18,937"
360,University of Hartford,>600,133,332,401-500,"$30,789"
360,Hartwick College,401-500,157,>600,501-600,"$26,012"
360,College of Idaho,501-600,138,401-500,501-600,"$22,277"
364,Alma College,401-500,213,401-500,>600,"$22,086"
364,Bellarmine University,366,268,314,>600,"$24,711"
364,University of Houston,297,>600,314,40,"$15,664"
364,Loyola University New Orleans,501-600,193,401-500,309,"$24,524"
368,Andrews University,>600,188,179,44,"$21,566"
368,Stetson University,>600,229,314,280,"$27,287"
370,Assumption College,272,393,371,>600,"$29,024"
370,Westminster College (Missouri),391,358,199,501-600,"$20,181"
370,Westminster College (Pennsylvania),366,247,401-500,>600,"$22,009"
373,University of Louisville,501-600,242,501-600,371,"$17,008"
373,Oklahoma State University,293,501-600,65,293,"$14,513"
375,"California State University, Northridge",239,>600,199,2,"$5,958"
375,Eastern Illinois University,501-600,260,332,359,"$14,107"
375,Florida International University,229,>600,332,81,"$12,219"
375,Nazareth College,501-600,219,111,>600,"$29,274"
375,Stockton University,246,>600,401-500,215,"$14,292"
380,Roosevelt University,>600,237,332,135,"$26,098"
381,"California State University, Monterey Bay",246,>600,>600,17,"$11,233"
381,Indiana University-Purdue University Indianapolis,501-600,325,199,252,"$9,744"
381,Millikin University,401-500,242,401-500,501-600,"$20,988"
381,Pacific Lutheran University,359,378,>600,401-500,"$24,567"
381,Taylor University,401-500,270,76,>600,"$25,734"
